Predicted_x,Predicted_y
387.74194,719.2418
374.48126,793.02747
382.42847,698.7497
374.48126,793.02747
375.2707,655.27295
374.48126,793.02747
386.46432,691.99475
382.42847,698.7497
375.2707,655.27295
387.74194,719.2418
375.44852,787.9658
386.46432,691.99475
395.57224,665.72406
387.74194,719.2418
382.42847,698.7497
386.46432,691.99475
382.42847,698.7497
389.32254,718.49994
389.32254,718.49994
375.44852,787.9658
387.74194,719.2418
387.74194,719.2418
392.9643,674.4079
395.57224,665.72406
387.74194,719.2418
374.48126,793.02747
387.74194,719.2418
375.2707,655.27295
387.74194,719.2418
386.46432,691.99475
386.46432,691.99475
382.42847,698.7497
386.46432,691.99475
382.42847,698.7497
386.46432,691.99475
387.74194,719.2418
392.9643,674.4079
389.32254,718.49994
389.32254,718.49994
392.9643,674.4079
387.74194,719.2418
389.32254,718.49994
387.74194,719.2418
387.74194,719.2418
382.42847,698.7497
386.46432,691.99475
387.74194,719.2418
374.48126,793.02747
389.32254,718.49994
395.57224,665.72406
382.65405,579.6924
395.57224,665.72406
389.32254,718.49994
386.46432,691.99475
392.9643,674.4079
389.32254,718.49994
382.42847,698.7497
387.74194,719.2418
392.9643,674.4079
386.46432,691.99475
375.44852,787.9658
382.65405,579.6924
389.32254,718.49994
387.74194,719.2418
375.44852,787.9658
374.48126,787.17566
382.42847,698.7497
374.48126,793.02747
374.48126,793.02747
375.2707,655.27295
374.48126,787.17566
382.42847,698.7497
375.44852,787.9658
386.46432,691.99475
386.46432,691.99475
386.46432,691.99475
374.48126,787.17566
375.2707,655.27295
374.48126,793.02747
386.46432,691.99475
387.74194,719.2418
387.74194,719.2418
387.74194,719.2418
387.74194,719.2418
387.74194,719.2418
392.9643,674.4079
374.48126,793.02747
389.32254,718.49994
392.9643,674.4079
392.9643,674.4079
389.32254,718.49994
392.9643,674.4079
389.32254,718.49994
392.9643,674.4079
395.57224,665.72406
386.46432,691.99475
386.46432,691.99475
392.9643,674.4079
389.32254,718.49994
395.57224,665.72406
